2025-09-20 02:57:05.572 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0320, rms_amp=0.0143, mean_amp=0.0123, non_zero_ratio=0.993, zero_ratio=0.007
2025-09-20 02:57:05.574 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.032043 > 0.003
2025-09-20 02:57:05.574 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0320, rms_amp=0.0143, buffer_before=94208, buffer_after=98304, trimmed=False, processing_time=6.7ms
2025-09-20 02:57:05.580 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.014299, 时长=0.26s
2025-09-20 02:57:05.827 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:05.832 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:05.832 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001673, 增益=10.00
2025-09-20 02:57:05.833 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0391, rms_amp=0.0167, mean_amp=0.0140, non_zero_ratio=0.993, zero_ratio=0.007
2025-09-20 02:57:05.835 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.039062 > 0.003
2025-09-20 02:57:05.835 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0391, rms_amp=0.0167, buffer_before=98304, buffer_after=102400, trimmed=False, processing_time=7.9ms
2025-09-20 02:57:05.840 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.016731, 时长=0.26s
2025-09-20 02:57:06.079 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:06.083 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:06.083 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001318, 增益=10.00
2025-09-20 02:57:06.084 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0308, rms_amp=0.0132, mean_amp=0.0115, non_zero_ratio=0.994, zero_ratio=0.006
2025-09-20 02:57:06.086 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.030823 > 0.003
